,TradePrice
1937,4200000
513,7200000
3958,4000000
3933,3500000
3377,5700000
7747,3500000
6409,4200000
918,7100000
8861,7300000
10007,6600000
655,6800000
2036,4100000
4433,8000000
4196,5500000
1944,4000000
9495,5200000
2143,5900000
2764,4100000
9568,3600000
4915,5300000
9604,5000000
252,5500000
2280,4000000
4671,6000000
4345,4100000
8024,5500000
1647,3500000
7921,6000000
7686,6000000
9391,3800000
5682,7000000
3715,8000000
2525,6000000
8287,6600000
6579,6500000
6171,5500000
6855,8000000
1320,5500000
2174,8300000
5327,5900000
6240,7100000
2382,4100000
2519,7800000
9388,4200000
1292,7000000
6691,4000000
8555,3500000
8585,3500000
1535,6500000
5533,5500000
438,6000000
6337,6000000
7311,5600000
515,4000000
1027,4300000
4612,5000000
5938,5800000
120,7200000
30,5500000
4459,5000000
3536,6000000
8440,5000000
5047,7500000
9201,6800000
5997,6800000
4397,6000000
2287,7000000
1079,4000000
627,5400000
4054,4100000
10015,3500000
3155,8000000
4741,8000000
8471,6000000
9227,6400000
5340,4500000
2448,8500000
8694,5000000
48,4100000
9153,6400000
6752,5100000
5191,6000000
9940,5800000
8835,3500000
8669,8300000
2332,8200000
5002,6500000
4435,6000000
3901,4000000
4088,5000000
5907,4300000
3425,8800000
7071,7500000
8351,5300000
3634,7300000
861,8000000
9220,3500000
5624,5300000
8609,7500000
2749,8300000
3050,7900000
8614,5400000
4419,7000000
7315,5500000
8050,6800000
2892,4000000
7634,8500000
5181,4600000
7599,3500000
6191,5500000
6468,4500000
9355,8000000
7653,3800000
6824,4800000
9773,6600000
5602,4600000
8574,5000000
8223,5000000
1961,3500000
9582,4500000
9740,7500000
3607,4400000
9411,5600000
793,8500000
447,5000000
387,6500000
357,4000000
3085,5500000
7623,4700000
5778,8500000
2986,4400000
2336,6500000
3489,5000000
8993,6000000
6575,6600000
8886,7000000
6702,8500000
5514,6500000
680,4500000
3565,6600000
8274,5700000
157,8900000
9104,8000000
6765,7300000
7999,8000000
8490,5000000
7694,3800000
3612,6500000
4356,6000000
9366,7200000
5616,6100000
9690,5000000
6313,7400000
3706,7000000
5239,8500000
7270,7500000
7191,8500000
874,7400000
4248,7500000
7223,4400000
2466,4800000
1166,6800000
6358,6500000
5853,6500000
8174,5500000
1818,7800000
7710,4000000
3193,4000000
7114,8000000
9709,7500000
193,5300000
8944,8400000
7638,8800000
9544,4000000
9882,7500000
2862,6800000
5883,5900000
7529,7900000
7537,5500000
9768,8100000
7757,4800000
2989,6000000
4717,6600000
5090,6000000
7499,5600000
9165,3500000
7782,8800000
628,5200000
1311,3700000
289,3500000
629,7500000
2979,6600000
2572,4000000
7923,7300000
8353,4500000
7298,4100000
6490,8200000
1552,5900000
1408,7500000
2379,6000000
7714,5500000
8830,6000000
5542,3500000
308,5600000
